iter	Passed	Remaining
0	63	76700
1	80	48435
2	97	38735
3	113	33883
4	129	31054
5	146	29121
6	164	28101
7	181	26987
8	197	26177
9	213	25463
10	231	24985
11	247	24504
12	264	24124
13	280	23771
14	296	23454
15	314	23248
16	330	22990
17	346	22763
18	362	22555
19	379	22396
20	395	22230
21	413	22115
22	429	22002
23	446	21861
24	462	21728
25	480	21693
26	497	21623
27	517	21659
28	533	21552
29	549	21446
30	566	21354
31	584	21341
32	601	21257
33	617	21164
34	633	21095
35	650	21032
36	667	20978
37	683	20904
38	699	20836
39	715	20763
40	732	20718
41	749	20673
42	766	20625
43	782	20562
44	799	20514
45	816	20480
46	832	20426
47	848	20365
48	864	20318
49	881	20282
50	898	20235
51	914	20190
52	930	20140
53	947	20105
54	964	20083
55	981	20047
56	998	20015
57	1016	20013
58	1032	19967
59	1048	19925
60	1064	19885
61	1081	19849
62	1097	19808
63	1114	19780
64	1130	19742
65	1147	19708
66	1165	19705
67	1182	19678
68	1199	19658
69	1220	19706
70	1237	19679
71	1257	19701
72	1275	19695
73	1292	19664
74	1308	19634
75	1325	19598
76	1341	19563
77	1357	19523
78	1373	19489
79	1390	19468
80	1406	19435
81	1423	19402
82	1439	19374
83	1455	19343
84	1473	19332
85	1490	19301
86	1506	19273
87	1524	19264
88	1540	19226
89	1557	19210
90	1574	19188
91	1590	19158
92	1607	19133
93	1623	19105
94	1641	19089
95	1659	19084
96	1676	19059
97	1692	19029
98	1708	19001
99	1724	18972
100	1741	18944
101	1757	18923
102	1776	18921
103	1792	18889
104	1809	18865
105	1825	18840
106	1842	18817
107	1858	18796
108	1875	18767
109	1892	18754
110	1909	18729
111	1928	18733
112	1944	18708
113	1961	18686
114	1977	18661
115	1993	18628
116	2009	18603
117	2026	18578
118	2042	18552
119	2059	18536
120	2075	18508
121	2091	18481
122	2108	18458
123	2124	18436
124	2141	18413
125	2157	18394
126	2176	18388
127	2192	18362
128	2211	18357
129	2227	18332
130	2243	18306
131	2259	18284
132	2281	18301
133	2297	18279
134	2316	18275
135	2332	18248
136	2349	18228
137	2371	18249
138	2387	18224
139	2403	18201
140	2420	18181
141	2437	18161
142	2454	18145
143	2474	18144
144	2492	18131
145	2508	18109
146	2524	18084
147	2541	18065
148	2559	18051
149	2575	18029
150	2595	18031
151	2613	18018
152	2629	17992
153	2648	17988
154	2670	18005
155	2691	18009
156	2706	17983
157	2723	17960
158	2740	17940
159	2756	17919
160	2772	17894
161	2789	17871
162	2804	17845
163	2821	17825
164	2838	17805
165	2855	17785
166	2873	17776
167	2889	17752
168	2907	17738
169	2924	17716
170	2940	17693
171	2958	17682
172	2974	17658
173	2992	17642
174	3010	17630
175	3026	17607
176	3042	17583
177	3058	17561
178	3075	17540
179	3091	17517
180	3107	17494
