feature,importance
rr_max,83.88771195240622
rr_std,5.580989670946206
spo_p25,0.6105205377692177
spo_shape_4,0.49035294733292173
spo_p90,0.4295610041130081
spo_min,0.34713962019083755
spp_shape_11,0.313676466170878
rr_median,0.294751308616297
spp_shape_12,0.2874627850374443
rr_spo_corr,0.2863831318804975
rr_p25,0.28540622969199164
rr_shape_2,0.2805671539635681
spo_shape_15,0.2803877359459035
spo_spp_mean_ratio,0.27136774581178713
spo_shape_2,0.2677784465733194
spo_iqr,0.256736997459553
rr_shape_1,0.25350847940785065
rr_spp_std_diff,0.25274990259412544
spp_shape_2,0.24373497278301942
rr_p10,0.23474796618835253
rr_shape_14,0.23329367166894538
spo_shape_8,0.2331883634788777
spp_shape_6,0.227855192667649
spp_p25,0.21972511517360035
spo_shape_11,0.21501234946522457
spp_shape_9,0.2078574142426569
spo_shape_10,0.20223116925525883
rr_spo_mean_diff,0.2012945045764656
spp_shape_4,0.19544948362921188
rr_spp_corr,0.18398667256592868
spp_shape_0,0.1617594288048805
rr_energy,0.15911483877795005
rr_shape_3,0.1572220924707241
rr_shape_0,0.15373980618181024
spo_p10,0.14238718826898128
spp_p10,0.12944864413531001
spp_shape_15,0.12425305150233394
spo_spp_corr,0.11183841209615493
spo_median,0.11037642210879171
spp_shape_5,0.10737544477425769
spp_shape_14,0.1004854885542317
spp_energy,0.09747885126481654
spo_shape_0,0.09699080673920354
spo_shape_5,0.08228195642543816
spp_max,0.08089961843524032
spp_shape_3,0.07702621640092935
spp_std,0.07315366790786143
rr_p90,0.07307262201659881
spp_p75,0.07119448947594613
rr_shape_4,0.06774550195643658
rr_shape_8,0.06704940459526311
rr_shape_12,0.05711113248307635
spp_p90,0.055139240216582265
spp_shape_10,0.052861646913927314
spo_mean,0.04789900436010436
spp_shape_1,0.04372646944686989
spo_shape_3,0.04044593760404148
spo_shape_1,0.038124902229186415
rr_shape_10,0.032147537517483143
rr_shape_6,0.03212199333651734
spp_median,0.03085323923529275
rr_spp_mean_ratio,0.027494768016687654
rr_spo_std_diff,0.021751184140254773
rr_min,0.0
spp_mean,0.0
spp_min,0.0
spo_slope,0.0
spo_energy,0.0
spo_p75,0.0
rr_iqr,0.0
spo_std,0.0
spo_max,0.0
rr_slope,0.0
rr_p75,0.0
rr_mean,0.0
spp_slope,0.0
rr_spp_mean_diff,0.0
rr_spo_mean_ratio,0.0
spp_iqr,0.0
spo_spp_std_diff,0.0
rr_shape_15,0.0
rr_shape_13,0.0
rr_shape_9,0.0
rr_shape_11,0.0
rr_shape_5,0.0
rr_shape_7,0.0
spo_spp_mean_diff,0.0
spo_shape_7,0.0
spo_shape_14,0.0
spo_shape_13,0.0
spo_shape_12,0.0
spo_shape_9,0.0
spo_shape_6,0.0
spp_shape_7,0.0
spp_shape_8,0.0
spp_shape_13,0.0
